ID;IDstudy;plotID;country;region;temperature_Celsiul;precipitation_mm;climate;Latitud;Longitud;bedrock;soil_type;USDA;TYPE_CHANGE;CROP_current;CROP_type;cropAGE;current_land_use;LUC_this_study;previous_land_use;years_since_luc;TEMPORAL_only_this study;timeTEMPORAL;CHANGE_management;year_since_MANAGEMENT_CHANGE;soil_treatments;tillageYESNO;tillage_type;fertilizerYESNO;fet_type;rate_fertilizer_kh_ha;pesticides;org_amendYESNO;org_amend_type;prev_man;SINGLE_DATA-MULTIPLE_SINGLEAMPLING;DIF_DEPTH_current_point;CONTI_DEPTH;NUM_DEPTH;year_measure;N_plots_current;N_sample_per_plot_current;N_measured_current;soil_from_cm_current;soil_to_cm_current;depth_midpoint_current;bulk_density_Mg_m3_current;%clay_current;%silt_current;%sand_current;ph_current;SOC_g_kg_current;sd_SOC_gkg_current;SOC_Mg_ha_current;sd_SOC_Mgha_current;N_plots_previous;N_sample_per_plot_previous;N_measured_current;soil_from_cm_previous;soil_to_cm_previous;depth_midpoint_previous;Bulkdensity_previous;%clay_previous;%silt_previous;%sand_previous;ph_previous;SOC_g_kg_previous;sd_SOC_gkg_previous;SOC_Mg_ha_previous;sd_SOC_Mgha_previous;yearPpub
37;5;9;Italy;Gariga_di_Podenzano;12.2;890;Mediterranean;44.966;9.683;NA;Chromic_Luvisol;NA;LUC;Black_locust;woody;6;SRC;YES;annual_crop;6;NO;NA;NO;NA;NO;NO;NA;NO;NA;NA;NO;NO;NA;NA;MULTI;YES;YES;4;2012;1;3;3;0;10;5;1.55;24;64;12;6.9;12.2;0.3;NA;NA;1;3;3;0;10;5;1.42;24;64;12;6.9;8.3;0.3;NA;NA;2016
38;5;9;Italy;Gariga_di_Podenzano;12.2;890;Mediterranean;44.966;9.683;NA;Chromic_Luvisol;NA;LUC;Black_locust;woody;6;SRC;YES;annual_crop;6;NO;NA;NO;NA;NO;NO;NA;NO;NA;NA;NO;NO;NA;NA;MULTI;YES;YES;4;2012;1;3;3;10;30;20;1.67;24;64;12;6.9;7.9;0.3;NA;NA;1;3;3;10;30;20;1.42;24;64;12;6.9;8.3;0.3;NA;NA;2016
39;5;9;Italy;Gariga_di_Podenzano;12.2;890;Mediterranean;44.966;9.683;NA;Chromic_Luvisol;NA;LUC;Black_locust;woody;6;SRC;YES;annual_crop;6;NO;NA;NO;NA;NO;NO;NA;NO;NA;NA;NO;NO;NA;NA;MULTI;YES;YES;4;2012;1;3;3;30;60;45;1.67;24;64;12;6.9;5.5;0.3;NA;NA;1;3;3;30;60;45;1.58;24;64;12;6.9;4.8;0.2;NA;NA;2016
40;5;9;Italy;Gariga_di_Podenzano;12.2;890;Mediterranean;44.966;9.683;NA;Chromic_Luvisol;NA;LUC;Black_locust;woody;6;SRC;YES;annual_crop;6;NO;NA;NO;NA;NO;NO;NA;NO;NA;NA;NO;NO;NA;NA;MULTI;YES;YES;4;2012;1;3;3;60;100;80;1.55;24;64;12;6.9;2.9;0.2;NA;NA;1;3;3;60;100;80;1.53;24;64;12;6.9;3.2;0;NA;NA;2016
41;5;10;Italy;Gariga_di_Podenzano;12.2;890;Mediterranean;44.966;9.683;NA;Chromic_Luvisol;NA;LUC;Black_locust;woody;6;SRC;YES;annual_crop;6;NO;NA;NO;NA;NO;NO;NA;NO;NA;NA;NO;NO;NA;NA;MULTI;YES;YES;4;2012;1;3;3;0;10;5;1.49;24;64;12;6.9;11.8;0.7;NA;NA;1;3;3;0;10;5;1.42;24;64;12;6.9;8.3;0.3;NA;NA;2016
42;5;10;Italy;Gariga_di_Podenzano;12.2;890;Mediterranean;44.966;9.683;NA;Chromic_Luvisol;NA;LUC;Willow;woody;6;SRC;YES;annual_crop;6;NO;NA;NO;NA;NO;NO;NA;NO;NA;NA;NO;NO;NA;NA;MULTI;YES;YES;4;2012;1;3;3;10;30;20;1.69;24;64;12;6.9;8.4;0.5;NA;NA;1;3;3;10;30;20;1.42;24;64;12;6.9;8.3;0.3;NA;NA;2016
43;5;10;Italy;Gariga_di_Podenzano;12.2;890;Mediterranean;44.966;9.683;NA;Chromic_Luvisol;NA;LUC;Willow;woody;6;SRC;YES;annual_crop;6;NO;NA;NO;NA;NO;NO;NA;NO;NA;NA;NO;NO;NA;NA;MULTI;YES;YES;4;2012;1;3;3;30;60;45;1.64;24;64;12;6.9;5.1;0.3;NA;NA;1;3;3;30;60;45;1.58;24;64;12;6.9;4.8;0.2;NA;NA;2016
44;5;10;Italy;Gariga_di_Podenzano;12.2;890;Mediterranean;44.966;9.683;NA;Chromic_Luvisol;NA;LUC;Willow;woody;6;SRC;YES;annual_crop;6;NO;NA;NO;NA;NO;NO;NA;NO;NA;NA;NO;NO;NA;NA;MULTI;YES;YES;4;2012;1;3;3;60;100;80;1.65;24;64;12;6.9;2.9;0.1;NA;NA;1;3;3;60;100;80;1.53;24;64;12;6.9;3.2;0;NA;NA;2016
45;5;11;Italy;Gariga_di_Podenzano;12.2;890;Mediterranean;44.966;9.683;NA;Chromic_Luvisol;NA;LUC;Willow;woody;6;SRC;YES;annual_crop;6;NO;NA;NO;NA;NO;NO;NA;NO;NA;NA;NO;NO;NA;NA;MULTI;YES;YES;4;2012;1;3;3;0;10;5;1.49;24;64;12;6.9;11.7;0.5;NA;NA;1;3;3;0;10;5;1.42;24;64;12;6.9;8.3;0.3;NA;NA;2016
46;5;11;Italy;Gariga_di_Podenzano;12.2;890;Mediterranean;44.966;9.683;NA;Chromic_Luvisol;NA;LUC;Poplar;woody;6;SRC;YES;annual_crop;6;NO;NA;NO;NA;NO;NO;NA;NO;NA;NA;NO;NO;NA;NA;MULTI;YES;YES;4;2012;1;3;3;10;30;20;1.62;24;64;12;6.9;8.1;0.5;NA;NA;1;3;3;10;30;20;1.42;24;64;12;6.9;8.3;0.3;NA;NA;2016
